"Notes"	"County"	"County Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Nevada County, AR"	"05099"	80.79	55.30	97.76
	"Newton County, AR"	"05101"	70.63	51.50	94.76
	"Ouachita County, AR"	"05103"	80.70	53.97	98.07
	"Perry County, AR"	"05105"	76.20	53.82	97.13
	"Phillips County, AR"	"05107"	77.13	54.57	97.59
	"Pike County, AR"	"05109"	78.67	55.10	96.86
	"Poinsett County, AR"	"05111"	74.07	52.22	97.94
	"Polk County, AR"	"05113"	75.77	53.78	95.10
	"Pope County, AR"	"05115"	74.17	52.93	96.33
	"Prairie County, AR"	"05117"	76.49	53.34	97.89
	"Pulaski County, AR"	"05119"	76.41	53.66	97.41
	"Randolph County, AR"	"05121"	71.62	51.90	98.28
	"St. Francis County, AR"	"05123"	75.87	53.38	97.73
	"Saline County, AR"	"05125"	76.35	53.50	96.61
	"Scott County, AR"	"05127"	76.05	53.71	96.12
	"Searcy County, AR"	"05129"	71.89	52.12	95.82
	"Sebastian County, AR"	"05131"	76.67	52.84	97.59
	"Sevier County, AR"	"05133"	79.79	55.46	97.51
	"Sharp County, AR"	"05135"	71.58	51.74	97.84
	"Stone County, AR"	"05137"	71.94	52.31	96.30
	"Union County, AR"	"05139"	81.41	54.24	97.67
	"Van Buren County, AR"	"05141"	72.84	52.47	95.97
	"Washington County, AR"	"05143"	71.67	50.75	95.87
	"White County, AR"	"05145"	74.80	53.56	97.83
	"Woodruff County, AR"	"05147"	75.89	53.18	97.99
	"Yell County, AR"	"05149"	76.62	53.25	97.05
	"Alameda County, CA"	"06001"	68.52	49.24	84.85
	"Alpine County, CA"	"06003"	48.82	31.04	79.52
	"Amador County, CA"	"06005"	66.26	47.93	87.03
	"Butte County, CA"	"06007"	67.53	48.81	88.35
	"Calaveras County, CA"	"06009"	65.70	46.22	86.78
	"Colusa County, CA"	"06011"	71.67	49.63	89.30
	"Contra Costa County, CA"	"06013"	68.89	47.74	85.88
	"Del Norte County, CA"	"06015"	51.59	43.43	80.28
	"El Dorado County, CA"	"06017"	59.31	42.05	84.93
	"Fresno County, CA"	"06019"	66.15	46.17	91.02
	"Glenn County, CA"	"06021"	69.89	49.92	89.00
	"Humboldt County, CA"	"06023"	58.66	45.10	82.89
	"Imperial County, CA"	"06025"	85.76	61.66	95.15
	"Inyo County, CA"	"06027"	69.36	49.89	88.56
	"Kern County, CA"	"06029"	73.56	52.60	89.97
	"Kings County, CA"	"06031"	78.25	55.18	93.33
	"Lake County, CA"	"06033"	64.91	46.31	84.07
	"Lassen County, CA"	"06035"	54.59	36.15	81.19
	"Los Angeles County, CA"	"06037"	70.76	51.83	86.65
	"Madera County, CA"	"06039"	66.16	45.93	90.93
	"Marin County, CA"	"06041"	61.98	46.51	81.93
	"Mariposa County, CA"	"06043"	63.72	45.07	87.05
	"Mendocino County, CA"	"06045"	63.00	45.29	83.57
	"Merced County, CA"	"06047"	75.74	51.59	91.58
	"Modoc County, CA"	"06049"	55.26	36.58	80.91
	"Mono County, CA"	"06051"	50.56	33.25	80.62
	"Monterey County, CA"	"06053"	68.63	49.75	86.82
	"Napa County, CA"	"06055"	68.97	50.27	85.97
	"Nevada County, CA"	"06057"	57.04	39.59	84.38
	"Orange County, CA"	"06059"	68.86	54.67	84.31
	"Placer County, CA"	"06061"	61.38	42.48	86.88
	"Plumas County, CA"	"06063"	54.53	35.90	80.34
	"Riverside County, CA"	"06065"	78.38	56.53	91.20
	"Sacramento County, CA"	"06067"	73.49	47.50	90.70
	"San Benito County, CA"	"06069"	69.92	48.53	85.91
	"San Bernardino County, CA"	"06071"	76.14	55.47	90.33
	"San Diego County, CA"	"06073"	71.59	53.03	85.92
	"San Francisco County, CA"	"06075"	54.36	51.84	Missing
	"San Joaquin County, CA"	"06077"	74.28	48.02	90.89
	"San Luis Obispo County, CA"	"06079"	69.61	50.72	86.04
	"San Mateo County, CA"	"06081"	64.44	48.32	83.68
	"Santa Barbara County, CA"	"06083"	68.93	51.38	83.91
	"Santa Clara County, CA"	"06085"	69.61	48.84	85.63
	"Santa Cruz County, CA"	"06087"	68.74	47.47	85.14
	"Shasta County, CA"	"06089"	63.20	44.34	85.88
	"Sierra County, CA"	"06091"	54.41	36.29	80.49
	"Siskiyou County, CA"	"06093"	56.64	37.44	81.82
	"Solano County, CA"	"06095"	71.49	47.68	88.20
	"Sonoma County, CA"	"06097"	63.24	48.79	83.85
	"Stanislaus County, CA"	"06099"	74.34	51.91	90.55
	"Sutter County, CA"	"06101"	73.94	48.98	90.87
	"Tehama County, CA"	"06103"	66.17	47.40	88.06
	"Trinity County, CA"	"06105"	58.87	40.26	82.33
	"Tulare County, CA"	"06107"	64.38	44.70	90.70
	"Tuolumne County, CA"	"06109"	56.15	38.56	85.30
	"Ventura County, CA"	"06111"	70.49	48.80	84.78
	"Yolo County, CA"	"06113"	72.50	49.42	89.45
	"Yuba County, CA"	"06115"	69.24	49.76	88.69
	"Adams County, CO"	"08001"	65.16	42.51	86.99
	"Alamosa County, CO"	"08003"	57.29	37.37	82.31
	"Arapahoe County, CO"	"08005"	63.95	42.00	85.78
	"Archuleta County, CO"	"08007"	51.29	33.46	80.96
	"Baca County, CO"	"08009"	70.88	47.11	89.45
	"Bent County, CO"	"08011"	70.97	46.62	89.98
	"Boulder County, CO"	"08013"	57.00	36.39	84.75
	"Chaffee County, CO"	"08015"	45.61	26.90	79.65
	"Cheyenne County, CO"	"08017"	67.70	44.33	88.89
	"Clear Creek County, CO"	"08019"	42.09	23.73	78.88
	"Conejos County, CO"	"08021"	52.08	33.14	81.66
	"Costilla County, CO"	"08023"	52.35	32.94	81.23
	"Crowley County, CO"	"08025"	70.13	45.34	89.62
	"Custer County, CO"	"08027"	52.71	32.56	80.77
	"Delta County, CO"	"08029"	55.73	35.81	83.45
	"Denver County, CO"	"08031"	64.79	42.51	85.69
	"Dolores County, CO"	"08033"	49.86	32.76	81.09
	"Douglas County, CO"	"08035"	59.05	37.71	82.52
	"Eagle County, CO"	"08037"	45.78	26.57	79.98
	"Elbert County, CO"	"08039"	62.43	40.88	84.70
	"El Paso County, CO"	"08041"	62.24	40.94	84.89
	"Fremont County, CO"	"08043"	57.53	36.21	83.24
	"Garfield County, CO"	"08045"	50.81	31.83	81.34
	"Gilpin County, CO"	"08047"	48.72	29.39	79.10
	"Grand County, CO"	"08049"	44.48	26.13	79.46
	"Gunnison County, CO"	"08051"	44.90	26.99	79.42
	"Hinsdale County, CO"	"08053"	40.13	22.62	Missing
	"Huerfano County, CO"	"08055"	59.41	38.08	83.75
	"Jackson County, CO"	"08057"	45.44	26.51	79.15
	"Jefferson County, CO"	"08059"	58.00	37.20	83.00
	"Kiowa County, CO"	"08061"	69.47	45.10	89.61
	"Kit Carson County, CO"	"08063"	66.40	43.69	88.30
	"Lake County, CO"	"08065"	38.95	21.24	Missing
	"La Plata County, CO"	"08067"	52.51	35.24	81.97
	"Larimer County, CO"	"08069"	51.79	33.01	83.86
	"Las Animas County, CO"	"08071"	65.49	43.45	86.18
	"Lincoln County, CO"	"08073"	65.84	43.25	87.00
	"Logan County, CO"	"08075"	64.57	41.98	88.07
	"Mesa County, CO"	"08077"	55.95	36.41	83.52
	"Mineral County, CO"	"08079"	41.59	23.60	Missing
	"Moffat County, CO"	"08081"	53.39	35.82	81.97
	"Montezuma County, CO"	"08083"	57.66	40.49	83.69
	"Montrose County, CO"	"08085"	55.41	36.99	82.63
	"Morgan County, CO"	"08087"	65.87	41.96	88.46
	"Otero County, CO"	"08089"	70.97	46.40	89.77
	"Ouray County, CO"	"08091"	46.28	28.92	80.34
	"Park County, CO"	"08093"	46.71	27.02	78.96
	"Phillips County, CO"	"08095"	65.43	42.50	89.36
	"Pitkin County, CO"	"08097"	42.44	24.35	79.36
	"Prowers County, CO"	"08099"	71.19	45.99	90.58
	"Pueblo County, CO"	"08101"	68.55	45.77	88.41
	"Rio Blanco County, CO"	"08103"	52.65	34.93	81.74
	"Rio Grande County, CO"	"08105"	50.22	30.94	81.77
	"Routt County, CO"	"08107"	47.86	29.36	80.23
	"Saguache County, CO"	"08109"	49.50	30.04	81.40
	"San Juan County, CO"	"08111"	37.61	20.99	Missing
	"San Miguel County, CO"	"08113"	50.96	33.64	82.16
	"Sedgwick County, CO"	"08115"	64.82	42.09	89.03
	"Summit County, CO"	"08117"	40.63	22.80	Missing
	"Teller County, CO"	"08119"	51.00	29.95	79.17
	"Washington County, CO"	"08121"	65.14	42.54	87.71
	"Weld County, CO"	"08123"	64.17	41.72	87.20
	"Yuma County, CO"	"08125"	66.66	43.21	89.51
	"Fairfield County, CT"	"09001"	59.79	45.00	89.11
	"Hartford County, CT"	"09003"	59.10	44.02	88.97
	"Litchfield County, CT"	"09005"	57.05	42.22	88.57
	"Middlesex County, CT"	"09007"	58.32	45.45	88.96
	"New Haven County, CT"	"09009"	58.96	45.07	88.97
	"New London County, CT"	"09011"	58.85	45.06	88.60
	"Tolland County, CT"	"09013"	57.98	43.25	88.11
	"Windham County, CT"	"09015"	58.07	43.45	88.46
	"Kent County, DE"	"10001"	63.73	50.41	90.49
	"New Castle County, DE"	"10003"	63.73	48.17	91.07
	"Sussex County, DE"	"10005"	64.44	51.29	90.73
	"District of Columbia, DC"	"11001"	66.27	48.65	92.18
	"Alachua County, FL"	"12001"	82.16	59.64	94.40
	"Baker County, FL"	"12003"	81.68	59.23	94.31
	"Bay County, FL"	"12005"	79.37	59.94	94.75
	"Bradford County, FL"	"12007"	81.98	60.40	94.26
	"Brevard County, FL"	"12009"	81.53	66.82	93.28
	"Broward County, FL"	"12011"	84.85	69.26	93.45
	"Calhoun County, FL"	"12013"	80.49	57.86	95.11
	"Charlotte County, FL"	"12015"	83.21	66.68	93.43
	"Citrus County, FL"	"12017"	81.60	62.28	93.91
	"Clay County, FL"	"12019"	81.72	61.45	94.22
	"Collier County, FL"	"12021"	84.64	67.87	93.56
	"Columbia County, FL"	"12023"	81.68	58.72	94.43
	"Dade County, FL"	"12025"	83.79	70.53	93.31
	"DeSoto County, FL"	"12027"	85.19	63.64	93.83
	"Dixie County, FL"	"12029"	79.46	61.36	94.54
	"Duval County, FL"	"12031"	80.54	61.93	94.09
	"Escambia County, FL"	"12033"	77.77	59.53	94.49
	"Flagler County, FL"	"12035"	81.63	63.04	93.64
	"Franklin County, FL"	"12037"	77.75	61.47	94.61
	"Gadsden County, FL"	"12039"	80.20	57.06	94.56
	"Gilchrist County, FL"	"12041"	81.39	59.17	94.65
	"Glades County, FL"	"12043"	85.37	65.77	94.00
	"Gulf County, FL"	"12045"	79.23	60.24	94.57
	"Hamilton County, FL"	"12047"	81.33	58.50	94.75
	"Hardee County, FL"	"12049"	84.64	63.54	93.73
	"Hendry County, FL"	"12051"	85.75	66.03	93.93
	"Hernando County, FL"	"12053"	80.89	63.88	93.45
	"Highlands County, FL"	"12055"	85.35	64.38	94.13
	"Hillsborough County, FL"	"12057"	83.03	63.86	93.40
	"Holmes County, FL"	"12059"	81.20	55.71	95.05
	"Indian River County, FL"	"12061"	83.35	66.96	93.57
	"Jackson County, FL"	"12063"	80.90	56.18	95.20
	"Jefferson County, FL"	"12065"	80.43	57.64	94.99
	"Lafayette County, FL"	"12067"	80.96	58.70	94.73
	"Lake County, FL"	"12069"	83.10	62.20	93.82
	"Lee County, FL"	"12071"	82.48	68.38	93.12
	"Leon County, FL"	"12073"	80.39	57.31	94.81
	"Levy County, FL"	"12075"	80.57	61.24	94.34
	"Liberty County, FL"	"12077"	79.94	58.38	94.74
	"Madison County, FL"	"12079"	80.89	57.74	94.79
	"Manatee County, FL"	"12081"	83.20	64.93	93.38
	"Marion County, FL"	"12083"	82.42	61.29	93.99
	"Martin County, FL"	"12085"	82.78	68.87	92.83
	"Monroe County, FL"	"12087"	83.06	70.90	93.17
	"Nassau County, FL"	"12089"	81.12	60.28	94.49
	"Okaloosa County, FL"	"12091"	79.15	58.68	94.29
	"Okeechobee County, FL"	"12093"	84.33	65.83	93.71
	"Orange County, FL"	"12095"	83.12	63.35	93.87
	"Osceola County, FL"	"12097"	83.74	64.02	93.90
	"Palm Beach County, FL"	"12099"	84.26	68.66	93.18
	"Pasco County, FL"	"12101"	81.75	63.87	93.50
	"Pinellas County, FL"	"12103"	77.09	69.54	93.54
	"Polk County, FL"	"12105"	83.90	63.12	93.67
	"Putnam County, FL"	"12107"	82.38	61.27	94.08
	"St. Johns County, FL"	"12109"	80.91	62.99	93.87
	"St. Lucie County, FL"	"12111"	81.90	69.05	92.68
	"Santa Rosa County, FL"	"12113"	78.20	59.43	94.56
	"Sarasota County, FL"	"12115"	82.95	65.78	93.29
	"Seminole County, FL"	"12117"	82.93	63.28	93.97
	"Sumter County, FL"	"12119"	82.62	61.86	93.79
	"Suwannee County, FL"	"12121"	81.33	58.45	94.53
	"Taylor County, FL"	"12123"	78.79	61.21	94.75
	"Union County, FL"	"12125"	81.83	59.36	94.27
	"Volusia County, FL"	"12127"	82.21	63.56	93.77
	"Wakulla County, FL"	"12129"	79.54	58.76	94.88
	"Walton County, FL"	"12131"	79.88	58.17	94.33
	"Washington County, FL"	"12133"	81.01	56.76	95.12
	"Appling County, GA"	"13001"	80.32	56.77	95.36
	"Atkinson County, GA"	"13003"	80.37	56.59	95.29
	"Bacon County, GA"	"13005"	80.62	56.58	95.58
	"Baker County, GA"	"13007"	80.34	56.99	95.70
	"Baldwin County, GA"	"13009"	77.82	54.60	95.72
	"Banks County, GA"	"13011"	73.46	53.66	93.38
	"Barrow County, GA"	"13013"	73.94	54.03	93.47
	"Bartow County, GA"	"13015"	73.75	52.82	93.63
	"Ben Hill County, GA"	"13017"	79.30	56.64	95.24
	"Berrien County, GA"	"13019"	79.83	56.61	95.05
	"Bibb County, GA"	"13021"	77.97	54.85	95.66
	"Bleckley County, GA"	"13023"	78.48	55.66	95.89
	"Brantley County, GA"	"13025"	80.75	59.08	95.03
	"Brooks County, GA"	"13027"	80.34	57.38	94.80
	"Bryan County, GA"	"13029"	79.09	58.35	95.37
	"Bulloch County, GA"	"13031"	79.25	56.12	95.68
	"Burke County, GA"	"13033"	78.37	54.86	95.96
	"Butts County, GA"	"13035"	75.63	54.93	94.46
	"Calhoun County, GA"	"13037"	79.90	56.87	95.58
	"Camden County, GA"	"13039"	80.32	60.80	94.65
	"Candler County, GA"	"13043"	79.48	56.09	95.45
	"Carroll County, GA"	"13045"	73.75	53.23	92.93
	"Catoosa County, GA"	"13047"	71.97	53.18	93.59
	"Charlton County, GA"	"13049"	81.40	58.95	94.59
	"Chatham County, GA"	"13051"	78.49	59.58	95.14
	"Chattahoochee County, GA"	"13053"	77.99	57.02	94.68
	"Chattooga County, GA"	"13055"	72.75	53.20	93.65
	"Cherokee County, GA"	"13057"	72.89	52.90	92.64
	"Clarke County, GA"	"13059"	75.11	54.11	94.41
	"Clay County, GA"	"13061"	79.64	56.85	95.16
	"Clayton County, GA"	"13063"	74.55	53.93	93.56
	"Clinch County, GA"	"13065"	80.94	57.76	94.99
	"Cobb County, GA"	"13067"	73.74	52.91	93.02
	"Coffee County, GA"	"13069"	80.06	56.16	95.31
	"Colquitt County, GA"	"13071"	79.78	57.19	94.80
	"Columbia County, GA"	"13073"	77.03	54.71	95.58
	"Cook County, GA"	"13075"	79.91	56.72	94.85
	"Coweta County, GA"	"13077"	74.80	53.92	93.71
	"Crawford County, GA"	"13079"	77.64	55.31	94.95
	"Crisp County, GA"	"13081"	78.94	56.28	95.18
	"Dade County, GA"	"13083"	70.41	51.93	92.59
	"Dawson County, GA"	"13085"	69.67	52.12	90.68
	"Decatur County, GA"	"13087"	80.63	56.81	95.43
	"DeKalb County, GA"	"13089"	74.00	53.51	93.23
	"Dodge County, GA"	"13091"	79.12	55.82	95.75
	"Dooly County, GA"	"13093"	78.81	56.13	95.35
	"Dougherty County, GA"	"13095"	79.97	57.28	95.65
	"Douglas County, GA"	"13097"	74.03	53.00	93.15
	"Early County, GA"	"13099"	80.29	56.47	95.41
	"Echols County, GA"	"13101"	81.00	58.29	94.77
	"Effingham County, GA"	"13103"	79.34	56.18	95.82
	"Elbert County, GA"	"13105"	75.38	54.29	94.78
	"Emanuel County, GA"	"13107"	78.90	55.66	95.77
	"Evans County, GA"	"13109"	79.72	56.57	95.43
	"Fannin County, GA"	"13111"	66.83	50.28	88.66
	"Fayette County, GA"	"13113"	74.84	54.17	93.55
	"Floyd County, GA"	"13115"	74.37	53.31	94.42
	"Forsyth County, GA"	"13117"	72.39	53.31	92.23
	"Franklin County, GA"	"13119"	73.66	54.29	93.87
	"Fulton County, GA"	"13121"	73.89	53.35	93.18
	"Gilmer County, GA"	"13123"	68.76	51.46	90.17
	"Glascock County, GA"	"13125"	77.35	54.64	95.32
	"Glynn County, GA"	"13127"	78.95	61.44	94.50
	"Gordon County, GA"	"13129"	73.43	53.09	93.98
	"Grady County, GA"	"13131"	80.19	56.93	94.85
	"Greene County, GA"	"13133"	76.30	54.54	95.07
	"Gwinnett County, GA"	"13135"	73.44	54.13	92.93
	"Habersham County, GA"	"13137"	69.99	52.17	90.83
	"Hall County, GA"	"13139"	72.58	52.92	92.37
	"Hancock County, GA"	"13141"	77.40	54.38	95.25
	"Haralson County, GA"	"13143"	73.01	53.55	92.30
	"Harris County, GA"	"13145"	76.03	55.89	93.83
	"Hart County, GA"	"13147"	74.21	53.84	93.88
	"Heard County, GA"	"13149"	75.29	54.39	93.99
	"Henry County, GA"	"13151"	74.99	54.55	93.94
	"Houston County, GA"	"13153"	78.39	55.62	95.51
	"Irwin County, GA"	"13155"	79.38	56.94	95.05
	"Jackson County, GA"	"13157"	74.15	53.94	93.78
	"Jasper County, GA"	"13159"	76.52	54.86	95.14
	"Jeff Davis County, GA"	"13161"	80.08	56.01	95.61
	"Jefferson County, GA"	"13163"	78.10	55.02	95.87
	"Jenkins County, GA"	"13165"	78.81	55.24	96.00
	"Johnson County, GA"	"13167"	78.27	55.86	95.90
	"Jones County, GA"	"13169"	77.49	54.31	95.36
	"Lamar County, GA"	"13171"	76.17	54.96	94.29
	"Lanier County, GA"	"13173"	80.20	56.62	95.12
	"Laurens County, GA"	"13175"	78.70	56.00	95.92
	"Lee County, GA"	"13177"	79.52	56.72	95.54
	"Liberty County, GA"	"13179"	78.82	59.67	94.95
	"Lincoln County, GA"	"13181"	76.44	54.42	95.22
	"Long County, GA"	"13183"	80.24	57.85	95.28
	"Lowndes County, GA"	"13185"	80.49	57.18	94.82
	"Lumpkin County, GA"	"13187"	68.88	51.80	90.30
	"McDuffie County, GA"	"13189"	76.80	54.11	95.12
	"McIntosh County, GA"	"13191"	77.95	62.64	94.24
	"Macon County, GA"	"13193"	78.27	55.98	95.10
	"Madison County, GA"	"13195"	74.55	54.32	94.04
	"Marion County, GA"	"13197"	77.50	56.57	94.16
	"Meriwether County, GA"	"13199"	75.35	55.05	93.65
	"Miller County, GA"	"13201"	80.59	56.51	95.62
	"Mitchell County, GA"	"13205"	80.11	57.51	95.38
	"Monroe County, GA"	"13207"	77.01	54.77	95.00
	"Montgomery County, GA"	"13209"	79.69	55.72	95.52
	"Morgan County, GA"	"13211"	75.89	54.28	94.83
	"Murray County, GA"	"13213"	71.22	52.87	92.88
	"Muscogee County, GA"	"13215"	77.65	56.93	94.87
	"Newton County, GA"	"13217"	75.45	54.17	94.33
	"Oconee County, GA"	"13219"	75.26	53.99	94.47
	"Oglethorpe County, GA"	"13221"	75.51	54.23	94.76
	"Paulding County, GA"	"13223"	73.67	52.68	92.97
	"Peach County, GA"	"13225"	78.12	55.41	95.10
	"Pickens County, GA"	"13227"	71.40	52.11	91.52
	"Pierce County, GA"	"13229"	80.78	57.46	95.55
	"Pike County, GA"	"13231"	75.39	54.90	93.86
	"Polk County, GA"	"13233"	74.01	53.03	93.59
	"Pulaski County, GA"	"13235"	78.81	56.08	95.70
	"Putnam County, GA"	"13237"	77.17	54.68	95.44
	"Quitman County, GA"	"13239"	79.37	56.17	95.10
	"Rabun County, GA"	"13241"	65.93	50.04	87.87
